Number
3639
4141
6587
7442
32324
14400
14652
17293
18778
21311
31629
28084
15779
16035
22641
29446
41076
54860
82835
75761
3954
21269
29698
60858
84031
82741
94821
89258
102227
95014
65267
45753
35997
38722
20408
10910
7577
2197
1827
4000
1929
1514
1356
1136
2172
10415
19717
7917
9317
22094
37695
52853
43859
49787
89703
98665
91693
87299
90159
75947
65900
44271
50508
46390
54866
73130
104978
120679
131868
91585
10700
6867
10751
9660
11039
30766
41453
51160
115404
101858
90915
102263
51932
10872
306
371
1919
3517
5283
5094
5853
6681
3630
3595
4646
4740
21743
13344
7553
2098
1255
4342
9419
6062
7106
3196
941
1593
12191
13612
7500
8089
9623
14115
16859
33196
39119
64517
122864
116212
74688
60925
105834
130101
110934
38290
3108
0
0
0
0
0
0
0
0
8047
14279
9152
4867
878
1490
3106
2972
8333
8322
13828
17160
72235
32094
21976
23389
27045
34462
50870
59981
67515
57412
43500
86163
114899
100488
63312
69439
81906
74308
49089
59491
75735
80467
89252
132815
151093
172529
192255
235304
230060
192060
115512
55015
98687
116264
123374
111353
132728
128101
155724
135892
88346
75589
54076
39457
28033
29352
25305
20334
28846
18067
19770
28253
33559
39352
49132
161218
45348
23117
34029
41452
58580
70009
63455
90171
102500
80415
