Number
2790
1865
2706
1994
16848
9651
4262
6481
5205
5917
7479
4516
9908
2296
2846
3249
3831
5324
10647
7732
633
270
1098
4147
7530
7217
45034
34164
16138
20866
18479
16665
10753
7625
4815
3185
1488
737
730
4764
1190
896
1156
1042
1114
7073
11000
2395
1690
2455
3922
4857
14395
5892
6761
5937
31405
32600
8364
11112
8181
8290
16694
12677
10836
13335
17675
17960
24886
10029
4780
8187
10273
7027
7543
14051
17152
27492
61455
62533
31063
32196
21887
6274
188
67
2959
5992
5126
5431
5162
11247
5068
3698
4236
4000
17155
8330
3383
180
115
1492
2562
2535
3190
1279
57
182
8453
13664
3760
3913
4465
16157
8608
12910
17098
30173
56298
56582
41156
44445
89634
104183
95153
26532
770
0
0
0
0
0
0
0
0
6369
7712
6898
2618
905
2285
2909
3621
13873
10372
10007
9363
36155
14829
9204
7761
6766
8147
8474
12242
14959
18050
24407
28144
24448
50892
62313
28552
33294
32191
35635
53296
59214
85278
65444
83012
85874
119308
126912
138803
137474
127423
92114
41573
52891
50207
47359
75600
99465
54167
63123
63394
61973
57057
41862
34057
27044
31176
29778
27439
39967
20266
22025
22906
23060
25590
23101
72606
24677
11620
11611
15004
18316
21050
47398
22607
23482
24432
